itemurl,imgurl,status,idate,cdate
http://www.maruchan.co.jp/news_topics/entry/2014/04/22_15.html,http://www.maruchan.co.jp/common/images/gnav_products.gif,,2014-05-16 07:34:11.925797,2014-05-26 10:20:35
http://www.maruchan.co.jp/news_topics/entry/2014/04/22_15.html,http://www.maruchan.co.jp/common/images/gnav_csr.gif,,2014-05-16 07:34:11.948897,2014-05-26 10:20:35
http://www.maruchan.co.jp/news_topics/entry/2014/04/22_15.html,http://www.maruchan.co.jp/common/images/foot_pagetop.gif,,2014-05-16 07:34:12.175955,2014-05-26 10:20:36
http://www.maruchan.co.jp/news_topics/entry/2014/04/22_15.html,http://www.maruchan.co.jp/common/images/foot_m_ttl.gif,,2014-05-16 07:34:12.184586,2014-05-26 10:20:36
http://www.maruchan.co.jp/news_topics/entry/2014/04/22_15.html,http://www.maruchan.co.jp/common/images/foot_mobile_qr.gif,,2014-05-16 07:34:12.201628,2014-05-26 10:20:36
http://www.maruchan.co.jp/news_topics/entry/2014/04/22_15.html,http://www.maruchan.co.jp/common/images/foot_sp_ttl.gif,,2014-05-16 07:34:12.20944,2014-05-26 10:20:36
http://www.maruchan.co.jp/news_topics/entry/2014/04/22_15.html,http://www.maruchan.co.jp/common/images/foot_sp_qr.gif,,2014-05-16 07:34:12.21754,2014-05-26 10:20:36
http://www.maruchan.co.jp/news_topics/entry/2014/04/22_15.html,http://www.maruchan.co.jp/common/images/copyright.gif,,2014-05-16 07:34:12.225878,2014-05-26 10:20:36
http://www.maruchan.co.jp/news_topics/entry/2014/04/22_15.html,http://www.maruchan.co.jp/common/images/gnav_about.gif,,2014-05-16 07:34:11.93431,2014-05-26 10:20:35
http://www.maruchan.co.jp/news_topics/entry/2014/04/22_15.html,http://www.maruchan.co.jp/common/images/foot_mobile_ttl.gif,,2014-05-16 07:34:12.192613,2014-05-26 10:20:36
http://www.tarami.co.jp/jellys/jellys-variety/post-477.html,http://www.tarami.co.jp/image/c_sweet.png,,2014-05-19 17:07:58.190811,2014-05-28 20:15:22
http://www.nipponham.co.jp/news/2014/20140404/,http://www.nipponham.co.jp/shared/image/megadrop/products/btn27.png,,2014-05-24 10:45:30.0014,2014-05-28 20:26:18
http://www.tarami.co.jp/jellys/jellys-variety/post-477.html,http://www.tarami.co.jp/image/c_cal0kcal180g.png,,2014-05-19 17:07:58.299082,2014-05-28 20:15:22
http://www.tarami.co.jp/jellys/jellys-variety/post-477.html,http://www.tarami.co.jp/image/f_header_b5.jpg,,2014-05-19 17:07:58.007497,2014-05-28 20:15:22
http://www.tarami.co.jp/jellys/jellys-variety/post-477.html,http://www.tarami.co.jp/image/f_header_b6.jpg,,2014-05-19 17:07:58.015827,2014-05-28 20:15:22
http://www.tarami.co.jp/jellys/jellys-variety/post-477.html,http://www.tarami.co.jp/image/c_dossari.png,,2014-05-19 17:07:58.257438,2014-05-28 20:15:22
